,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE
74,19800,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE19800.00,2391,34,1.4425116673737803,374,21.59,1.8,-0.7499999999999998,-29.411764705882348,48400,16450,500,1.7,1000,1.8,17856.5
75,19850,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE19850.00,49,0,0,5,21.85,1.65,-0.15000000000000013,-8.333333333333341,39550,1500,900,1.4,500,2.35,17856.5
76,19900,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE19900.00,168,-1,-0.591715976331361,26,21.82,1.35,-0.6499999999999999,-32.49999999999999,54000,5950,1200,1.2,250,1.85,17856.5
77,19950,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE19950.00,80,-5,-5.882352941176471,9,22.95,1.75,-1,-36.36363636363637,37750,3300,1500,1.35,200,2.15,17856.5
78,20000,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE20000.00,17399,-99,-0.565778946165276,4522,23.09,1.55,-0.4999999999999998,-24.390243902439014,230800,233700,1950,1.5,7350,1.55,17856.5
79,20050,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE20050.00,56,0,0,0,0,1.85,0,0,47050,2700,350,1.5,200,2.1,17856.5
80,20100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE20100.00,199,33,19.879518072289155,57,23.65,1.35,-0.44999999999999996,-24.999999999999996,43500,24500,100,1.35,1850,1.5,17856.5
81,20150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE20150.00,74,-3,-3.896103896103896,8,24.38,1.5,-0.30000000000000004,-16.666666666666668,54050,2550,1200,1.05,200,2.1,17856.5
82,20200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE20200.00,271,54,24.88479262672811,124,24.24,1.2,-0.75,-38.46153846153847,95600,21100,700,1.25,100,1.3,17856.5
83,20250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE20250.00,192,92,92,189,25.64,1.7,-0.10000000000000009,-5.55555555555556,66100,6950,50,1.7,200,1.95,17856.5
84,20300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE20300.00,2099,227,12.126068376068377,861,25.55,1.4,-0.30000000000000004,-17.647058823529417,81750,24000,100,1.25,1500,1.3,17856.5
