,strikePrice_PE,expiryDate_PE,underlying_PE,identifier_PE,openInterest_PE,changeinOpenInterest_PE,pchangeinOpenInterest_PE,totalTradedVolume_PE,impliedVolatility_PE,lastPrice_PE,change_PE,pChange_PE,totalBuyQuantity_PE,totalSellQuantity_PE,bidQty_PE,bidprice_PE,askQty_PE,askPrice_PE,underlyingValue_PE
55,18850,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE18850.00,60,0,0,0,0,931.7,0,0,7150,7000,150,959.1,150,983.9,17856.5
56,18900,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE18900.00,453,-4,-0.87527352297593,12,23.81,1024,64.95000000000005,6.772326781711073,8450,6900,100,1013.75,200,1033.55,17856.5
57,18950,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE18950.00,50,1,2.0408163265306123,1,24.05,1070,-63.40000000000009,-5.593788600670557,7200,7100,150,1065.75,150,1085.65,17856.5
58,19000,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19000.00,7814,-46,-0.5852417302798982,386,26.1,1128,77.04999999999995,7.331462010561868,9500,8400,750,1122.25,50,1129.35,17856.5
59,19050,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19050.00,67,0,0,0,0,1514.75,0,0,8350,6900,1650,1116.65,100,1204.4,17856.5
60,19100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19100.00,286,-6,-2.0547945205479454,14,26.74,1221.35,68.84999999999991,5.973969631236434,7000,6900,200,1220.95,200,1233.6,17856.5
61,19150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19150.00,45,0,0,0,0,1203.6,0,0,8250,6750,1650,1227.55,200,1319.35,17856.5
62,19200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19200.00,459,-62,-11.900191938579654,149,27.06,1313.75,78.84999999999991,6.385132399384558,7250,7800,100,1318.65,100,1335.25,17856.5
63,19250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19250.00,14,0,0,0,0,1505.3,0,0,7800,7800,3250,1298.65,1500,1476.05,17856.5
64,19300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19300.00,137,0,0,3,32.81,1439.5,91.40000000000009,6.779912469401387,6450,6900,150,1421.85,150,1434.5,17856.5
65,19350,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19350.00,3,0,0,0,0,1400,0,0,7800,7850,1500,1415.2,1550,1537.9,17856.5
66,19400,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19400.00,136,0,0,0,0,1518.6,0,0,7100,8500,150,1514.3,1700,1619.35,17856.5
67,19450,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19450.00,71,0,0,0,0,1461.1,-11.5,-0.7809316854542986,7800,7800,1500,1511,1500,1640.4,17856.5
68,19500,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19500.00,3921,-46,-1.1595664229896647,185,32.69,1619.2,73.35000000000014,4.744962318465578,7600,7400,200,1617.3,250,1629.6,17856.5
69,19550,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19550.00,0,0,0,0,0,0,0,0,7800,7800,1500,1610.7,1500,1742.3,17856.5
70,19600,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19600.00,50,0,0,0,0,1641.65,-0.599999999999909,-0.03653524128481711,8300,6550,2000,1660.4,200,1755.4,17856.5
71,19650,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19650.00,0,0,0,0,0,0,0,0,7800,7800,1500,1706.8,1500,1842.6,17856.5
72,19700,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19700.00,35,0,0,0,0,1742.1,0,0,7050,6650,300,1785.1,200,1856,17856.5
73,19750,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19750.00,2,0,0,0,0,1730,0,0,7800,7800,1500,1802.5,1500,1944.1,17856.5
74,19800,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19800.00,53,0,0,0,0,1861.5,0,0,7150,7050,200,1892.8,200,1972.95,17856.5
75,19850,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19850.00,1,0,0,0,0,1895.65,0,0,7800,7800,1500,1898.5,1500,2046.2,17856.5
76,19900,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19900.00,47,0,0,0,0,1950.2,0,0,6800,8250,200,2003.2,2800,2118.25,17856.5
77,19950,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE19950.00,1,0,0,0,0,1700,0,0,7800,7800,1500,1994.5,1500,2147.85,17856.5
78,20000,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE20000.00,9638,-43,-0.44416899080673483,145,39.19,2114.7,68.09999999999991,3.327469950161239,8350,11550,150,2113.8,800,2131,17856.5
79,20050,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE20050.00,0,0,0,0,0,0,0,0,7800,7800,1500,2090.5,1500,2249.25,17856.5
80,20100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE20100.00,0,0,0,0,0,0,0,0,8000,6500,1700,2140,200,2262.3,17856.5
81,20150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE20150.00,0,0,0,0,0,0,0,0,7800,7800,1500,2186.5,1500,2351,17856.5
82,20200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE20200.00,21,0,0,6,52.87,2377.7,127.69999999999982,5.6755555555555475,6900,6600,300,2299.7,300,2341.55,17856.5
83,20250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE20250.00,0,0,0,0,0,0,0,0,7800,7800,1500,2282.45,1500,2452.2,17856.5
84,20300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE20300.00,1305,-59,-4.325513196480938,81,44.25,2418.55,83.55000000000018,3.5781584582441193,7150,10850,200,2413.05,50,2496.65,17856.5
